Round,Oblast,Recorded IDPs,IDPs remaining from last round,New IDPs,Departed IDPs,% change from last round,Change from last round,% of total IDPs this round,Share of total,Data Collected
19,Ternopilska,"82,537","82,537",,888,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 12 2022-Dec 25 2022
19,Vinnytska,"180,007","180,007",,526,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Dec 12 2022-Dec 25 2022
19,Volynska,"51,310","51,310",,329,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 12 2022-Dec 25 2022
19,Zakarpatska,"156,728","156,424",304,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Dec 12 2022-Dec 25 2022
19,Zaporizka,"200,199","200,199",,725,0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,Dec 12 2022-Dec 25 2022
19,Zhytomyrska,"69,761","69,761",,383,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Dec 12 2022-Dec 25 2022
20,Cherkaska,"146,186","146,186",,"2,809",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Chernihivska,"74,826","74,826",,"2,676",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Chernivetska,"67,451","67,451",,"3,450",-5%,-5% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Dnipropetrovska,"367,089","363,729","3,360",,1%,1% more IDPs this round,5%,5% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Donetska,"45,223","41,667","3,556",,9%,9% more IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Ivano-Frankivska,"141,484","141,484",,"2,851",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Kharkivska,"456,946","442,584","14,362",,3%,3% more IDPs this round,6%,6% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Khersonska,"1,032",,"1,032",,,1st round collected for this oblast,0%,0% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Khmelnytska,"90,513","90,513",,"1,685",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Kirovohradska,"94,484","94,484",,"1,542",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Kyivska,"561,888","551,272","10,616",,2%,2% more IDPs this round,8%,8% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Lvivska,"247,067","247,067",,"4,983",-2%,-2% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Mykolaivska,"115,721","113,756","1,965",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Odeska,"139,556","132,237","7,319",,6%,6% more IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Poltavska,"193,733","193,733",,"3,684",-2%,-2% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Rivnenska,"58,644","58,644",,"24,607",-30%,-30% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Sumska,"69,126","69,126",,"2,844",-4%,-4% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Ternopilska,"80,771","80,771",,"1,766",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Vinnytska,"178,572","178,572",,"1,435",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
