Round,Oblast,Recorded IDPs,IDPs remaining from last round,New IDPs,Departed IDPs,% change from last round,Change from last round,% of total IDPs this round,Share of total,Data Collected
1,Zakarpatska,"184,676",,"184,676",,,1st round collected for this oblast,50%,50% of total recorded IDPs this round,March 9 2022-March 16 2022
2,Lvivska,"66,678",,"66,678",,,1st round collected for this oblast,20%,20% of total recorded IDPs this round,March 24 2022-April 1 2022
2,Zakarpatska,"100,587","100,587",,"84,089",-46%,-46% fewer IDPs this round,30%,30% of total recorded IDPs this round,March 24 2022-April 1 2022
3,Chernivetska,"74,816",,"74,816",,,1st round collected for this oblast,5%,5% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Ivano-Frankivska,"72,333",,"72,333",,,1st round collected for this oblast,4%,4% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Khmelnytska,"65,833",,"65,833",,,1st round collected for this oblast,4%,4% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Kirovohradska,"75,849",,"75,849",,,1st round collected for this oblast,5%,5% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Lvivska,"141,546","66,678","74,868",,112%,112% more IDPs this round,9%,9% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Vinnytska,"163,427",,"163,427",,,1st round collected for this oblast,10%,10% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Zakarpatska,"118,316","100,587","17,729",,18%,18% more IDPs this round,7%,7% of total recorded IDPs this round,April 11 2022 - April 17 2022
3,Zhytomyrska,"94,255",,"94,255",,,1st round collected for this oblast,6%,6% of total recorded IDPs this round,April 11 2022 - April 17 2022
4,Chernivetska,"84,940","74,816","10,124",,14%,14% more IDPs this round,4%,4% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Ivano-Frankivska,"124,081","72,333","51,748",,72%,72% more IDPs this round,5%,5% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Khmelnytska,"132,187","65,833","66,354",,101%,101% more IDPs this round,6%,6% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Kirovohradska,"77,622","75,849","1,773",,2%,2% more IDPs this round,3%,3% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Lvivska,"155,228","141,546","13,682",,10%,10% more IDPs this round,7%,7% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Poltavska,"179,648",,"179,648",,,1st round collected for this oblast,8%,8% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Vinnytska,"162,482","162,482",,945,-1%,-1% fewer IDPs this round,7%,7% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Zakarpatska,"147,614","118,316","29,298",,25%,25% more IDPs this round,6%,6% of total recorded IDPs this round,May 16 2022- May 31 2022
4,Zhytomyrska,"91,658","91,658",,"2,597",-3%,-3% fewer IDPs this round,4%,4% of total recorded IDPs this round,May 16 2022- May 31 2022
5,Chernivetska,"81,627","81,627",,"3,313",-4%,-4% fewer IDPs this round,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Ivano-Frankivska,"115,817","115,817",,"8,264",-7%,-7% fewer IDPs this round,4%,4% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Khmelnytska,"122,213","122,213",,"9,974",-8%,-8% fewer IDPs this round,4%,4% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Kirovohradska,"79,822","77,622","2,200",,3%,3% more IDPs this round,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Kyivska,"85,960",,"85,960",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Lvivska,"143,526","143,526",,"11,702",-8%,-8% fewer IDPs this round,5%,5% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Odeska,"80,870",,"80,870",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Poltavska,"180,161","179,648",513,,0%,0% more IDPs this round,6%,6% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Ternopilska,"88,708",,"88,708",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Vinnytska,"171,461","162,482","8,979",,6%,6% more IDPs this round,6%,6% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Volynska,"59,155",,"59,155",,,1st round collected for this oblast,2%,2% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Zakarpatska,"150,184","147,614","2,570",,2%,2% more IDPs this round,5%,5% of total recorded IDPs this round,June 1 2022-Jun 11 2022
5,Zhytomyrska,"89,746","89,746",,"1,912",-2%,-2% fewer IDPs this round,3%,3% of total recorded IDPs this round,June 1 2022-Jun 11 2022
6,Cherkaska,"141,970",,"141,970",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Chernihivska,"76,309",,"76,309",,,1st round collected for this oblast,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Chernivetska,"79,581","79,581",,"2,046",-3%,-3% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Dnipropetrovska,"255,894",,"255,894",,,1st round collected for this oblast,6%,6% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Ivano-Frankivska,"94,053","94,053",,"21,764",-19%,-19% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Khmelnytska,"115,269","115,269",,"6,944",-6%,-6% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Kirovohradska,"80,097","79,822",275,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Kyivska,"283,937","85,960","197,977",,230%,230% more IDPs this round,7%,7% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Lvivska,"115,981","115,981",,"27,545",-19%,-19% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Odeska,"81,937","80,870","1,067",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Poltavska,"187,831","180,161","7,670",,4%,4% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Rivnenska,"52,170",,"52,170",,,1st round collected for this oblast,1%,1% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Sumska,"46,117",,"46,117",,,1st round collected for this oblast,1%,1% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Ternopilska,"88,975","88,708",267,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Vinnytska,"176,129","171,461","4,668",,3%,3% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Volynska,"57,512","57,512",,"1,643",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Zakarpatska,"173,168","150,184","22,984",,15%,15% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
6,Zhytomyrska,"76,482","76,482",,"13,264",-15%,-15% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 13 2022-Jun 26 2022
7,Cherkaska,"142,414","141,970",444,,0%,0% more IDPs this round,3%,3% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Chernihivska,"76,616","76,309",307,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Chernivetska,"77,284","77,284",,"2,297",-3%,-3% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Dnipropetrovska,"261,724","255,894","5,830",,2%,2% more IDPs this round,6%,6% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Ivano-Frankivska,"110,823","94,053","16,770",,18%,18% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Khmelnytska,"111,507","111,507",,"3,762",-3%,-3% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Kirovohradska,"81,691","80,097","1,594",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Kyivska,"287,888","283,937","3,951",,1%,1% more IDPs this round,6%,6% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Lvivska,"102,954","102,954",,"13,027",-11%,-11% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Odeska,"85,051","81,937","3,114",,4%,4% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Poltavska,"190,310","187,831","2,479",,1%,1% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Rivnenska,"52,170","52,170",,,0%,no change from last round,1%,1% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Sumska,"43,240","43,240",,"2,877",-6%,-6% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Ternopilska,"85,204","85,204",,"3,771",-4%,-4% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Vinnytska,"177,288","176,129","1,159",,1%,1% more IDPs this round,4%,4% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Volynska,"58,591","57,512","1,079",,2%,2% more IDPs this round,1%,1% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Zakarpatska,"164,164","164,164",,"9,004",-5%,-5% fewer IDPs this round,4%,4% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Zaporizka,"150,388",,"150,388",,,1st round collected for this oblast,3%,3% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
7,Zhytomyrska,"75,245","75,245",,"1,237",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 27 2022-Jul 8 2022
8,Cherkaska,"143,259","142,414",845,,1%,1% more IDPs this round,3%,3% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Chernihivska,"76,906","76,616",290,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Chernivetska,"75,879","75,879",,"1,405",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Dnipropetrovska,"272,076","261,724","10,352",,4%,4% more IDPs this round,6%,6% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Ivano-Frankivska,"94,943","94,943",,"15,880",-14%,-14% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Khmelnytska,"108,796","108,796",,"2,711",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Kirovohradska,"82,728","81,691","1,037",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Kyivska,"293,781","287,888","5,893",,2%,2% more IDPs this round,6%,6% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Lvivska,"106,073","102,954","3,119",,3%,3% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Odeska,"88,255","85,051","3,204",,4%,4% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Poltavska,"191,848","190,310","1,538",,1%,1% more IDPs this round,4%,4% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Rivnenska,"63,931","52,170","11,761",,23%,23% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Sumska,"47,570","43,240","4,330",,10%,10% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Ternopilska,"82,965","82,965",,"2,239",-3%,-3% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Vinnytska,"175,862","175,862",,"1,426",-1%,-1% fewer IDPs this round,4%,4% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Volynska,"58,494","58,494",,97,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Zakarpatska,"125,877","125,877",,"38,287",-23%,-23% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Zaporizka,"161,090","150,388","10,702",,7%,7% more IDPs this round,3%,3% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
8,Zhytomyrska,"74,144","74,144",,"1,101",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 12 2022-Jul 24 2022
9,Cherkaska,"144,447","143,259","1,188",,1%,1% more IDPs this round,3%,3% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Chernihivska,"77,038","76,906",132,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Chernivetska,"73,626","73,626",,"2,253",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Dnipropetrovska,"281,693","272,076","9,617",,4%,4% more IDPs this round,6%,6% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Ivano-Frankivska,"45,236","45,236",,"49,707",-52%,-52% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Khmelnytska,"108,796","108,796",,,0%,no change from last round,2%,2% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Kirovohradska,"81,202","81,202",,"1,526",-2%,-2% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Kyivska,"421,589","293,781","127,808",,44%,44% more IDPs this round,8%,8% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Lvivska,"94,502","94,502",,"11,571",-11%,-11% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Odeska,"92,700","88,255","4,445",,5%,5% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Poltavska,"193,957","191,848","2,109",,1%,1% more IDPs this round,4%,4% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Rivnenska,"75,047","63,931","11,116",,17%,17% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Sumska,"51,172","47,570","3,602",,8%,8% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Ternopilska,"81,919","81,919",,"1,046",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Vinnytska,"193,864","175,862","18,002",,10%,10% more IDPs this round,4%,4% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Volynska,"60,136","58,494","1,642",,3%,3% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Zakarpatska,"175,429","125,877","49,552",,39%,39% more IDPs this round,4%,4% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Zaporizka,"168,102","161,090","7,012",,4%,4% more IDPs this round,3%,3% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
9,Zhytomyrska,"75,301","74,144","1,157",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 25 2022-Aug 5 2022
10,Cherkaska,"146,296","144,447","1,849",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Chernihivska,"77,513","77,038",475,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Chernivetska,"74,245","73,626",619,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Dnipropetrovska,"302,359","281,693","20,666",,7%,7% more IDPs this round,5%,5% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Ivano-Frankivska,"95,862","45,236","50,626",,112%,112% more IDPs this round,2%,2% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Kharkivska,"382,376",,"382,376",,,1st round collected for this oblast,6%,6% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Khmelnytska,"103,672","103,672",,"5,124",-5%,-5% fewer IDPs this round,2%,2% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Kirovohradska,"94,225","81,202","13,023",,16%,16% more IDPs this round,2%,2% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Kyivska,"460,204","421,589","38,615",,9%,9% more IDPs this round,7%,7% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Lvivska,"125,235","94,502","30,733",,33%,33% more IDPs this round,2%,2% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Mykolaivska,"97,745",,"97,745",,,1st round collected for this oblast,2%,2% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Odeska,"100,848","92,700","8,148",,9%,9% more IDPs this round,2%,2% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Poltavska,"196,995","193,957","3,038",,2%,2% more IDPs this round,3%,3% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Rivnenska,"76,104","75,047","1,057",,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Sumska,"54,661","51,172","3,489",,7%,7% more IDPs this round,1%,1% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Ternopilska,"85,746","81,919","3,827",,5%,5% more IDPs this round,1%,1% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Vinnytska,"180,227","180,227",,"13,637",-7%,-7% fewer IDPs this round,3%,3% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Volynska,"59,950","59,950",,186,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Zakarpatska,"157,983","157,983",,"17,446",-10%,-10% fewer IDPs this round,3%,3% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Zaporizka,"178,298","168,102","10,196",,6%,6% more IDPs this round,3%,3% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
10,Zhytomyrska,"74,759","74,759",,542,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Aug 8 2022-Aug 19 2022
11,Cherkaska,"146,296","146,296",,,0%,no change from last round,2%,2% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Chernihivska,"77,513","77,513",,,0%,no change from last round,1%,1% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Chernivetska,"74,245","74,245",,,0%,no change from last round,1%,1% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Dnipropetrovska,"302,359","302,359",,,0%,no change from last round,5%,5% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Ivano-Frankivska,"95,862","95,862",,,0%,no change from last round,2%,2% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Kharkivska,"382,376","382,376",,,0%,no change from last round,6%,6% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Khmelnytska,"103,672","103,672",,,0%,no change from last round,2%,2% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Kirovohradska,"94,225","94,225",,,0%,no change from last round,2%,2% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Kyivska,"460,204","460,204",,,0%,no change from last round,7%,7% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Lvivska,"125,235","125,235",,,0%,no change from last round,2%,2% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Mykolaivska,"97,745","97,745",,,0%,no change from last round,2%,2% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Odeska,"100,848","100,848",,,0%,no change from last round,2%,2% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Poltavska,"196,995","196,995",,,0%,no change from last round,3%,3% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Rivnenska,"76,104","76,104",,,0%,no change from last round,1%,1% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Sumska,"54,661","54,661",,,0%,no change from last round,1%,1% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Ternopilska,"85,746","85,746",,,0%,no change from last round,1%,1% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Vinnytska,"180,227","180,227",,,0%,no change from last round,3%,3% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Volynska,"59,950","59,950",,,0%,no change from last round,1%,1% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Zakarpatska,"157,983","157,983",,,0%,no change from last round,3%,3% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Zaporizka,"178,298","178,298",,,0%,no change from last round,3%,3% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
11,Zhytomyrska,"74,759","74,759",,,0%,no change from last round,1%,1% of total recorded IDPs this round,Aug 22 2022-Sep 2 2022
12,Cherkaska,"147,546","146,296","1,250",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Chernihivska,"77,763","77,513",250,,0%,0% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Chernivetska,"73,729","73,729",,516,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Dnipropetrovska,"317,914","302,359","15,555",,5%,5% more IDPs this round,5%,5% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Ivano-Frankivska,"102,997","95,862","7,135",,7%,7% more IDPs this round,2%,2% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Kharkivska,"385,788","382,376","3,412",,1%,1% more IDPs this round,6%,6% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Khmelnytska,"102,781","102,781",,891,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Kirovohradska,"89,616","89,616",,"4,609",-5%,-5% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Kyivska,"481,188","460,204","20,984",,5%,5% more IDPs this round,8%,8% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Lvivska,"129,756","125,235","4,521",,4%,4% more IDPs this round,2%,2% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Mykolaivska,"93,851","93,851",,"3,894",-4%,-4% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Odeska,"106,266","100,848","5,418",,5%,5% more IDPs this round,2%,2% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Poltavska,"199,011","196,995","2,016",,1%,1% more IDPs this round,3%,3% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Rivnenska,"78,152","76,104","2,048",,3%,3% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Sumska,"57,725","54,661","3,064",,6%,6% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Ternopilska,"83,505","83,505",,"2,241",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Vinnytska,"182,172","180,227","1,945",,1%,1% more IDPs this round,3%,3% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Volynska,"51,585","51,585",,"8,365",-14%,-14% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Zakarpatska,"162,145","157,983","4,162",,3%,3% more IDPs this round,3%,3% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Zaporizka,"178,654","178,298",356,,0%,0% more IDPs this round,3%,3% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
12,Zhytomyrska,"74,460","74,460",,299,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 5 2022-Sep 18 2022
13,Cherkaska,"145,607","145,607",,"1,939",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 19 2022-Sep 30 2022
13,Chernihivska,"78,407","77,763",644,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 19 2022-Sep 30 2022
13,Chernivetska,"73,306","73,306",,423,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 19 2022-Sep 30 2022
